"college","city","state","region","locale","lat","long","school_type","adm_rate","adm_rate_all","avg_net_pub","avg_net_priv","avg_cost","avg_tuition","population","avg_fam_inc","md_fam_inc","pct_loan","pct_pell","md_debt","md_earnings_10","pct_25k","default_rate","repay_rate","comp_deg","eng_deg","engtech_deg","math_deg","sci_deg"
"LIU Post","Brookville","NY",2,"21","40.820043","-73.593279","2","0.8302","0.84689248450022","NULL","28372",46535,20971,"3774","46756.71766","27278.33419","0.2876","0.1664",25499,44600,0.761,0.059,"0.6449103091",0.0114,0,0.0046,0.0057,0.0057
"Manhattan College","Riverdale","NY",2,"11","40.889756","-73.901893","2","0.6654","0.6654470057324","NULL","28117",48454,21001,"3471","92293.29151","70982.04615","0.6242","0.2871",26000,61700,0.862,0.026,"0.8847352025",0.0265,0.2684,0,0.0059,0.0029
"Manhattanville College","Purchase","NY",2,"21","41.031054","-73.718316","2","0.7386","0.73861033341817","NULL","23162",49126,15509,"1754","78456.7864","54117.37102","0.6556","0.3374",26000,47500,0.809,0.034,"0.8416523236",0.0103,0,0,0.0137,0.0103
"Marist College","Poughkeepsie","NY",2,"21","41.721955","-73.934342","2","0.3851","0.38508870885037","NULL","33402",47906,21295,"5240","121377.8847","104586.9674","0.5571","0.1597",25899,53300,0.829,0.021,"0.879804759",0.0504,0,0,0.0113,0.0015
"Marymount Manhattan College","New York","NY",2,"11","40.769108","-73.959676","2","0.735","0.73500570125427","NULL","34710",47464,21812,"1831","80769.6572","62089.24244","0.6152","0.2495",23000,38100,0.679,0.07,"0.7709815078",0,0,0,0,0
"Medaille College","Buffalo","NY",2,"11","42.92895","-78.856569","2","0.619","0.61897233201581","NULL","14195",30744,14271,"1914","40887.2632","28848.1566","0.8593","0.5402",25000,37900,0.757,0.078,"0.6713221601",0.0365,0,0,0,0
"Mercy College","Dobbs Ferry","NY",2,"21","41.021436","-73.874571","2","0.7189","0.71892458100558","NULL","14384",26975,14998,"6402","41685.06625","26377.48742","0.6065","0.5508",23111,36800,0.687,0.06,"0.5768930523",0.0219,0,0,0.0099,0
"Molloy College","Rockville Centre","NY",2,"21","40.68597","-73.626278","2","0.754","0.75404333231614","NULL","24045",38282,21375,"3293","73379.52035","52909.31396","0.7559","0.317",27000,55900,0.819,0.039,"0.7674641148",0.0099,0,0,0.0074,0
"Mount Saint Mary College","Newburgh","NY",2,"21","41.511212","-74.012906","2","0.8862","0.8861571352218","NULL","23714",39720,16643,"2096","80662.31071","57013.61895","0.7072","0.3364",25941.5,46800,0.789,0.038,"0.7701993704",0.0188,0,0,0.0607,0
"College of Mount Saint Vincent","Bronx","NY",2,"11","40.912814","-73.907019","2","0.9521","0.95208070617906","NULL","19587",40018,17809,"1671","68742.08518","47901.19","0.8094","0.5189",27000,50600,0.822,0.05,"0.7655986509",0,0,0,0.0054,0.0027
"Nazareth College","Rochester","NY",2,"21","43.102406","-77.514417","2","0.7049","0.70489844683393","NULL","26603",43507,19706,"2017","82070.0377","70829.26116","0.7743","0.3206",26024,44200,0.813,0.036,"0.8622828784",0.0126,0,0,0.0462,0.0063
"The College of New Rochelle","New Rochelle","NY",2,"21","40.899427","-73.781104","2","0.3853","0.38534695315251","NULL","32414",44483,13397,"3075","27320.46842","19771.20301","0.6257","0.7488",22175,35700,0.655,0.116,"0.4290674603",0,0,0,0.0014,0.0014
"The New School","New York","NY",2,"11","40.735275","-73.994636","2","0.659","0.6590181430096","NULL","34825",57945,26315,"6695","69525.35264","40770.19534","0.3848","0.2266",24384,40700,0.674,0.047,"0.7934298441",0,0,0,0,0
"New York University","New York","NY",2,"11","40.729452","-73.997264","2","0.3545","0.35449964569718","NULL","36991",61958,32018,"24539","82388.20922","48254.93739","0.4051","0.2145",23300,58800,0.819,0.02,"0.867576244",0.0238,0.0426,0,0.0153,0.0102
"Niagara University","Niagara University","NY",2,"21","43.138222","-79.037737","2","0.6586","0.6586255259467","NULL","19006",40164,12912,"3130","81918.64512","74033.10037","0.7276","0.3156",25000,40900,0.779,0.07,"0.8306709265",0.0113,0,0,0.0079,0.0034
"New York Institute of Technology","Old Westbury","NY",2,"21","40.814402","-73.608885","2","0.6403","0.64033833690731","NULL","25004",41830,29171,"4160","59721.17473","40041.90066","0.5272","0.36",24187.5,50300,0.79,0.048,"0.7076818491",0.0823,0.1281,0.0458,0,0
"Nyack College","Nyack","NY",2,"21","41.086425","-73.931106","2","0.9936","0.9936","NULL","19163",35426,12877,"1695","44675.9502","29816.30308","0.8394","0.5685",25000,39300,0.715,0.091,"0.5748148148",0,0,0,0.0023,0
"Pace University-New York","New York","NY",2,"11","40.711014","-74.004719","2","0.8499","0.84989187126319","NULL","27403",53010,20304,"8163","75440.82287","53531.47124","0.5737","0.3437",25000,57700,0.834,0.046,"0.7992994746",0.0501,0,0.0581,0.004,0.0011
"Paul Smiths College of Arts and Science","Paul Smiths","NY",2,"42","44.435638","-74.245143","2","0.9843","0.98429951690821","NULL","23828",40021,12339,"891","71885.17529","61918.63986","0.8247","0.4302",24353,32600,0.653,0.097,"0.7655417407",0,0,0.0389,0,0
"Rensselaer Polytechnic Institute","Troy","NY",2,"13","42.728983","-73.678768","2","0.375","0.37501343941511","NULL","33595",61820,26741,"5557","115238.1287","100900.8891","0.5997","0.1681",27500,79600,0.929,0.018,"0.944407677",0.1055,0.5275,0.031,0.0381,0.055
"Roberts Wesleyan College","Rochester","NY",2,"21","43.126747","-77.798964","2","0.6875","0.6875","NULL","19182",39746,15751,"1335","61408.75332","52334.46707","0.7536","0.4236",21946.5,42100,0.768,0.04,"0.7877984085",0,0,0,0.0049,0.0171
"Rochester Institute of Technology","Rochester","NY",2,"21","43.090325","-77.67521","2","0.5747","0.5746543264942","NULL","25256",47291,19868,"12635","83619.49512","67527.35051","0.6058","0.294",27000,59300,0.85,0.042,"0.840599455",0.1718,0.1729,0.1063,0.0143,0.0139
"University of Rochester","Rochester","NY",2,"12","43.126437","-77.631042","2","0.3641","0.36406931374799","NULL","26914",61340,21893,"6074","85742.46853","66285.45633","0.5305","0.1766",25000,56400,0.848,0.02,"0.8860103627",0.0258,0.1154,6e-04,0.0535,0.0463
"The Sage Colleges","Troy","NY",2,"13","42.72822","-73.693711","2","0.5481","0.54809358752166","NULL","16521",40869,12380,"1657","56076.19406","43195.08472","0.8146","0.4871",23375,38900,0.715,0.042,"0.7868675996",0.0261,0,0,0.0052,0.0131
"St Bonaventure University","Saint Bonaventure","NY",2,"33","42.07863","-78.47586","2","0.7043","0.70432513049962","NULL","22617",42234,15218,"1735","92070.16998","75082.12474","0.6977","0.2941",27000,44100,0.833,0.044,"0.8605769231",0.0172,0,0,0.0049,0.0221
"St Francis College","Brooklyn Heights","NY",2,"11","40.693076","-73.991653","2","0.7704","0.77039395145244","NULL","14604",27407,14332,"2661","54071.08496","35735.16935","0.5069","0.4374",24774,47200,0.789,0.092,"0.6607629428",0.0526,0,0,0.0078,0.0117
"St Lawrence University","Canton","NY",2,"33","44.589879","-75.161343","2","0.4764","0.4764325323475","NULL","27154",59550,22702,"2282","108043.6968","86327.13006","0.5539","0.1823",27000,45500,0.846,0.036,"0.9060606061",0.0203,0,0,0.0572,0.0683
"The College of Saint Rose","Albany","NY",2,"13","42.664664","-73.78611","2","0.7629","0.76289592760181","NULL","23263",41292,15067,"2614","72801.81219","55050.08207","0.7368","0.3604",25000,42800,0.792,0.045,"0.822689707",0.0138,0,0,0.0107,0.0046
